# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  18700      6.48e-02    6.76e-02      4.41e-04    6.69e-04      9.39e-03    9.74e-03    4.6e-05
  18800      6.56e-02    6.46e-02      7.62e-04    5.44e-04      9.41e-03    9.34e-03    4.6e-05
  18900      6.48e-02    6.63e-02      3.67e-04    9.51e-04      9.41e-03    9.42e-03    4.6e-05
  19000      6.62e-02    6.37e-02      6.25e-04    2.97e-04      9.55e-03    9.27e-03    4.6e-05
  19100      6.50e-02    6.65e-02      6.61e-04    8.75e-04      9.36e-03    9.49e-03    4.6e-05
  19200      6.55e-02    6.36e-02      5.11e-04    3.18e-04      9.48e-03    9.24e-03    4.6e-05
  19300      6.39e-02    6.33e-02      6.88e-04    4.59e-04      9.18e-03    9.16e-03    4.6e-05
  19400      6.37e-02    6.57e-02      5.28e-04    7.90e-04      9.22e-03    9.40e-03    4.6e-05
  19500      6.37e-02    6.37e-02      4.56e-04    3.70e-04      9.22e-03    9.24e-03    4.6e-05
  19600      6.47e-02    6.34e-02      4.67e-04    3.58e-04      9.37e-03    9.21e-03    4.6e-05
  19700      6.24e-02    6.52e-02      4.78e-04    3.77e-04      9.03e-03    9.46e-03    4.6e-05
  19800      6.46e-02    6.60e-02      2.92e-04    7.78e-04      9.40e-03    9.46e-03    4.6e-05
  19900      6.21e-02    6.28e-02      5.28e-04    4.48e-04      8.98e-03    9.10e-03    4.6e-05
  20000      3.85e-02    3.90e-02      4.14e-04    4.17e-04      9.06e-03    9.18e-03    1.7e-05
  20100      3.92e-02    3.97e-02      6.03e-04    4.03e-04      9.08e-03    9.38e-03    1.7e-05
  20200      3.89e-02    4.22e-02      4.10e-04    9.91e-04      9.17e-03    9.36e-03    1.7e-05
  20300      3.80e-02    3.83e-02      2.68e-04    3.04e-04      9.02e-03    9.08e-03    1.7e-05
  20400      3.90e-02    3.87e-02      4.67e-04    5.71e-04      9.16e-03    9.00e-03    1.7e-05
  20500      4.00e-02    3.86e-02      4.44e-04    3.47e-04      9.40e-03    9.13e-03    1.7e-05
  20600      3.83e-02    4.14e-02      2.89e-04    8.83e-04      9.08e-03    9.31e-03    1.7e-05
  20700      3.85e-02    3.93e-02      4.56e-04    3.84e-04      9.04e-03    9.29e-03    1.7e-05
  20800      3.81e-02    3.88e-02      4.21e-04    3.48e-04      8.97e-03    9.17e-03    1.7e-05
  20900      4.11e-02    4.02e-02      8.00e-04    4.97e-04      9.35e-03    9.43e-03    1.7e-05
  21000      4.02e-02    4.08e-02      5.31e-04    7.43e-04      9.40e-03    9.34e-03    1.7e-05
  21100      4.06e-02    3.98e-02      7.22e-04    5.08e-04      9.32e-03    9.32e-03    1.7e-05
  21200      3.90e-02    4.04e-02      3.99e-04    8.87e-04      9.20e-03    9.06e-03    1.7e-05
  21300      3.91e-02    3.96e-02      4.89e-04    4.69e-04      9.16e-03    9.30e-03    1.7e-05
  21400      4.13e-02    3.87e-02      8.07e-04    3.85e-04      9.39e-03    9.13e-03    1.7e-05
  21500      4.24e-02    3.92e-02      1.05e-03    5.04e-04      9.34e-03    9.17e-03    1.7e-05
  21600      3.85e-02    3.85e-02      4.88e-04    4.38e-04      9.02e-03    9.06e-03    1.7e-05
  21700      3.85e-02    3.93e-02      3.59e-04    3.62e-04      9.11e-03    9.30e-03    1.7e-05
  21800      3.89e-02    3.88e-02      3.65e-04    3.60e-04      9.19e-03    9.18e-03    1.7e-05
  21900      3.92e-02    4.11e-02      6.00e-04    6.08e-04      9.10e-03    9.55e-03    1.7e-05
  22000      3.87e-02    4.08e-02      4.41e-04    7.16e-04      9.10e-03    9.36e-03    1.7e-05
  22100      3.80e-02    3.98e-02      3.91e-04    5.12e-04      8.96e-03    9.30e-03    1.7e-05
  22200      3.92e-02    3.83e-02      4.52e-04    3.24e-04      9.21e-03    9.07e-03    1.7e-05
  22300      4.08e-02    4.05e-02      5.99e-04    6.16e-04      9.48e-03    9.40e-03    1.7e-05
  22400      3.90e-02    3.87e-02      3.74e-04    4.19e-04      9.22e-03    9.11e-03    1.7e-05
  22500      4.08e-02    3.88e-02      6.17e-04    3.96e-04      9.47e-03    9.16e-03    1.7e-05
  22600      3.79e-02    3.85e-02      4.02e-04    4.26e-04      8.94e-03    9.07e-03    1.7e-05
  22700      3.97e-02    3.93e-02      2.98e-04    2.81e-04      9.43e-03    9.32e-03    1.7e-05
  22800      3.91e-02    4.01e-02      3.46e-04    2.92e-04      9.25e-03    9.52e-03    1.7e-05
  22900      3.93e-02    4.00e-02      4.15e-04    6.41e-04      9.25e-03    9.25e-03    1.7e-05
